year,film,Genre
1956,The Bad Seed,Horror
1956,The Bad Seed,Drama
1956,War and Peace,Drama
1956,War and Peace,War
1956,War and Peace,Romance
1956,War and Peace,History
1939,Of Mice and Men,Drama
1939,Wuthering Heights,Drama
1939,Wuthering Heights,Romance
1956,High Society,Comedy
1956,High Society,Music
1956,High Society,Romance
1939,"Goodbye, Mr. Chips",Drama
1939,"Goodbye, Mr. Chips",Romance
1957,Funny Face,Music
1957,Funny Face,Comedy
1957,Funny Face,Romance
1939,Juarez,Drama
1939,Juarez,History
1939,Juarez,Romance
1958,Auntie Mame,Comedy
1958,Auntie Mame,Drama
1958,Auntie Mame,Romance
1958,Separate Tables,Drama
1958,Separate Tables,Romance
1939,Mr. Smith Goes to Washington,Comedy
1939,Mr. Smith Goes to Washington,Drama
1958,South Pacific,Music
1958,South Pacific,Romance
1958,South Pacific,War
1958,The Inn of the Sixth Happiness,War
1958,The Inn of the Sixth Happiness,Drama
1958,Cat on a Hot Tin Roof,Drama
1958,Cat on a Hot Tin Roof,Romance
1939,Young Mr. Lincoln,Drama
1939,Young Mr. Lincoln,History
1958,I Want to Live!,Crime
1958,I Want to Live!,Drama
1959,Ben-Hur,Action
1959,Ben-Hur,Drama
1959,Ben-Hur,History
1959,The Nun's Story,Drama
1959,The Nun's Story,War
1939,The Private Lives of Elizabeth and Essex,Drama
1939,The Private Lives of Elizabeth and Essex,History
1939,The Private Lives of Elizabeth and Essex,Romance
1959,Some Like It Hot,Comedy
1959,Some Like It Hot,Music
1959,Some Like It Hot,Romance
1959,Some Like It Hot,Crime
1940,Foreign Correspondent,Action
1940,Foreign Correspondent,Mystery
1940,Foreign Correspondent,Thriller
1940,Foreign Correspondent,War
1959,Pillow Talk,Comedy
1959,Pillow Talk,Romance
1960,Inherit the Wind,Drama
1960,Inherit the Wind,History
1960,The Apartment,Comedy
1960,The Apartment,Drama
1960,The Apartment,Romance
1960,Psycho,Horror
1960,Psycho,Drama
1960,Psycho,Thriller
1960,Exodus,History
1960,Exodus,War
1960,Exodus,Action
1940,Comrade X,Comedy
1940,Comrade X,Romance
1960,The Virgin Spring,Crime
1960,The Virgin Spring,Drama
1960,The Virgin Spring,Thriller
1961,The Children's Hour,Drama
1961,The Children's Hour,Romance
1940,The Letter,Crime
1940,The Letter,Drama
1940,The Letter,Romance
1940,The Letter,Mystery
1961,"One, Two, Three",Comedy
1961,West Side Story,Crime
1961,West Side Story,Drama
1961,West Side Story,Romance
1940,"All This, and Heaven Too",Drama
1940,"All This, and Heaven Too",Romance
1961,Splendor in the Grass,Drama
1961,Splendor in the Grass,Romance
1940,Boom Town,Adventure
1940,Boom Town,Drama
1940,Boom Town,Romance
1940,Boom Town,Western
1961,The Parent Trap,Comedy
1961,The Parent Trap,Family
1962,What Ever Happened to Baby Jane?,Drama
1962,What Ever Happened to Baby Jane?,Horror
1962,What Ever Happened to Baby Jane?,Thriller
1962,Lolita,Crime
1962,Lolita,Drama
1962,Lolita,Romance
1962,To Kill a Mockingbird,Crime
1962,To Kill a Mockingbird,Drama
1962,Gypsy,Comedy
1962,Gypsy,Drama
1962,Gypsy,Music
1962,The Miracle Worker,Drama
1962,Hatari!,Action
1962,Hatari!,Adventure
1962,Hatari!,Comedy
1941,Citizen Kane,Mystery
1941,Citizen Kane,Drama
1963,Tom Jones,Adventure
1963,Tom Jones,Comedy
1963,Tom Jones,Romance
1941,The Lady Eve,Comedy
1941,The Lady Eve,Romance
1963,"It's a Mad, Mad, Mad, Mad World",Action
1963,"It's a Mad, Mad, Mad, Mad World",Adventure
1963,"It's a Mad, Mad, Mad, Mad World",Comedy
1963,"It's a Mad, Mad, Mad, Mad World",Crime
1941,The Little Foxes,Drama
1941,The Little Foxes,Romance
1964,Mary Poppins,Comedy
1964,Mary Poppins,Family
1964,Mary Poppins,Fantasy
1964,My Fair Lady,Romance
1964,My Fair Lady,Drama
1964,My Fair Lady,Music
1941,The Maltese Falcon,Mystery
1941,The Maltese Falcon,Crime
1941,The Maltese Falcon,Thriller
1964,The Unsinkable Molly Brown,Comedy
1965,The Sound of Music,Drama
1965,The Sound of Music,Family
1965,The Sound of Music,Music
1965,The Sound of Music,Romance
1965,Inside Daisy Clover,Drama
1965,Inside Daisy Clover,Music
1965,Inside Daisy Clover,Romance
1965,Darling,Drama
1965,Darling,Romance
1965,A Patch of Blue,Drama
1965,A Patch of Blue,Romance
1966,Georgy Girl,Comedy
1966,Georgy Girl,Drama
1966,Georgy Girl,Romance
1967,Bonnie and Clyde,Crime
1967,Bonnie and Clyde,Drama
1967,Thoroughly Modern Millie,Comedy
1967,Thoroughly Modern Millie,Music
1967,Thoroughly Modern Millie,Romance
1967,Two for the Road,Comedy
1967,Two for the Road,Drama
1967,Two for the Road,Romance
1967,Guess Who's Coming to Dinner,Drama
1968,Rosemary's Baby,Drama
1968,Rosemary's Baby,Horror
1968,Rosemary's Baby,Thriller
1968,Romeo and Juliet,Drama
1968,Romeo and Juliet,Romance
1968,Star!,Drama
1968,Star!,Music
1968,Star!,Romance
1968,The Lion in Winter,Drama
1968,The Lion in Winter,History
1968,Funny Girl,Comedy
1968,Funny Girl,Drama
1968,Funny Girl,Romance
1942,The Magnificent Ambersons,Drama
1942,The Magnificent Ambersons,Romance
1942,The Magnificent Ambersons,History
1969,"Hello, Dolly!",Comedy
1969,"Hello, Dolly!",Family
1969,"Hello, Dolly!",Romance
1970,Five Easy Pieces,Drama
1970,Airport,Action
1970,Airport,Drama
1970,Airport,Thriller
1970,Darling Lili,Drama
1970,Darling Lili,Comedy
1970,Darling Lili,Thriller
1970,Darling Lili,Music
1970,Darling Lili,Romance
1971,Bedknobs and Broomsticks,Adventure
1971,Bedknobs and Broomsticks,Fantasy
1971,Bedknobs and Broomsticks,Comedy
1971,Bedknobs and Broomsticks,Family
1971,Bedknobs and Broomsticks,Music
1971,"Mary, Queen of Scots",Drama
1971,"Mary, Queen of Scots",History
1943,The More the Merrier,Comedy
1943,The More the Merrier,Romance
1971,Klute,Mystery
1971,Klute,Thriller
1971,Klute,Crime
1971,Nicholas and Alexandra,Romance
1971,Nicholas and Alexandra,Drama
1971,Nicholas and Alexandra,War
1971,Nicholas and Alexandra,History
1971,The Andromeda Strain,Science Fiction
1971,The Andromeda Strain,Thriller
1972,Travels with My Aunt,Adventure
1972,Travels with My Aunt,Comedy
1972,Butterflies Are Free,Comedy
1972,Butterflies Are Free,Romance
1972,Cabaret,Music
1972,Cabaret,Drama
1972,Cabaret,Romance
1972,The Discreet Charm of the Bourgeoisie,Comedy
1972,Lady Sings the Blues,Drama
1972,Lady Sings the Blues,Music
1972,Lady Sings the Blues,Romance
1973,The Exorcist,Horror
1973,Paper Moon,Comedy
1973,Paper Moon,Crime
1973,Paper Moon,Drama
1974,Alice Doesn't Live Here Anymore,Drama
1974,Alice Doesn't Live Here Anymore,Romance
1975,Jaws,Horror
1975,Jaws,Thriller
1975,Jaws,Adventure
1944,Hail the Conquering Hero,Comedy
1944,Hail the Conquering Hero,War
1975,Dog Day Afternoon,Crime
1975,Dog Day Afternoon,Drama
1975,Dog Day Afternoon,Thriller
1975,Nashville,Drama
1975,Nashville,Music
1975,Nashville,Comedy
1976,Network,Drama
1977,The Turning Point,Drama
1977,The Turning Point,Romance
1977,Julia,Drama
1977,Annie Hall,Comedy
1977,Annie Hall,Drama
1977,Annie Hall,Romance
1977,The Goodbye Girl,Comedy
1977,The Goodbye Girl,Romance
1977,A Little Night Music,Comedy
1977,A Little Night Music,Music
1977,A Little Night Music,Romance
1978,Autumn Sonata,Drama
1978,Interiors,Drama
1978,Death on the Nile,Mystery
1978,The Wiz,Adventure
1978,The Wiz,Family
1978,The Wiz,Fantasy
1978,The Wiz,Music
1979,The China Syndrome,Drama
1979,The China Syndrome,Thriller
1945,The Lost Weekend,Drama
1979,Norma Rae,Drama
1980,Private Benjamin,Comedy
1980,Coal Miner's Daughter,Music
1980,Coal Miner's Daughter,Drama
1981,Reds,Drama
1981,Reds,History
1981,Reds,Romance
1946,The Jolson Story,Drama
1946,The Jolson Story,Music
1981,Absence of Malice,Drama
1981,Absence of Malice,Romance
1981,Absence of Malice,Thriller
1946,The Best Years of Our Lives,Drama
1946,The Best Years of Our Lives,Romance
1946,The Best Years of Our Lives,War
1982,Sophie's Choice,Drama
1982,Sophie's Choice,Romance
1946,Notorious,Thriller
1946,Notorious,Romance
1946,Notorious,Mystery
1982,An Officer and a Gentleman,Drama
1982,An Officer and a Gentleman,Romance
1982,Missing,Drama
1982,Missing,Mystery
1982,Missing,Thriller
1982,Victor/Victoria,Comedy
1982,Victor/Victoria,Music
1982,Victor/Victoria,Romance
1983,Silkwood,Drama
1983,Silkwood,Thriller
1983,Educating Rita,Drama
1983,Educating Rita,Comedy
1947,Gentleman's Agreement,Drama
1947,Gentleman's Agreement,Romance
1983,Flashdance,Drama
1983,Flashdance,Romance
1947,Crossfire,Crime
1947,Crossfire,Drama
1947,Crossfire,Mystery
1947,Crossfire,Thriller
1984,The Bostonians,Drama
1984,The Bostonians,Romance
1984,Amadeus,History
1984,Amadeus,Music
1984,Amadeus,Drama
1947,Odd Man Out,Crime
1947,Odd Man Out,Drama
1947,Odd Man Out,Thriller
1984,A Passage to India,Drama
1984,A Passage to India,Adventure
1984,A Passage to India,History
1984,Romancing the Stone,Adventure
1984,Romancing the Stone,Action
1984,Romancing the Stone,Comedy
1984,Romancing the Stone,Romance
1985,Brazil,Comedy
1985,Brazil,Science Fiction
1985,The Color Purple,Drama
1985,The Trip to Bountiful,Drama
1985,A Chorus Line,Drama
1985,A Chorus Line,Music
1985,The Official Story,Drama
1985,The Official Story,History
1985,The Purple Rose of Cairo,Fantasy
1985,The Purple Rose of Cairo,Comedy
1985,The Purple Rose of Cairo,Romance
1948,Hamlet,Drama
1985,Witness,Crime
1985,Witness,Drama
1985,Witness,Romance
1985,Witness,Thriller
1985,Out of Africa,History
1985,Out of Africa,Romance
1985,Out of Africa,Drama
1986,Hannah and Her Sisters,Comedy
1986,Hannah and Her Sisters,Drama
1986,Peggy Sue Got Married,Comedy
1986,Peggy Sue Got Married,Drama
1986,Peggy Sue Got Married,Fantasy
1986,Peggy Sue Got Married,Romance
1986,Star Trek IV: The Voyage Home,Science Fiction
1986,Star Trek IV: The Voyage Home,Adventure
1986,Children of a Lesser God,Drama
1986,Children of a Lesser God,Romance
1949,All the King's Men,Drama
1987,Moonstruck,Comedy
1987,Moonstruck,Drama
1987,Moonstruck,Romance
1987,The Last Emperor,Drama
1987,The Last Emperor,History
1987,Fatal Attraction,Drama
1987,Fatal Attraction,Thriller
1987,Broadcast News,Comedy
1987,Broadcast News,Romance
1987,Hope and Glory,Drama
1987,Hope and Glory,War
1987,Hope and Glory,Comedy
1987,Hope and Glory,History
1988,Die Hard,Action
1988,Die Hard,Thriller
1988,Working Girl,Comedy
1988,Working Girl,Romance
1988,Working Girl,Drama
1988,Dangerous Liaisons,Drama
1988,Dangerous Liaisons,Romance
1988,A Fish Called Wanda,Comedy
1988,A Fish Called Wanda,Crime
1950,The Asphalt Jungle,Crime
1950,The Asphalt Jungle,Drama
1988,Gorillas in the Mist,Drama
1988,Gorillas in the Mist,History
1989,The Abyss,Adventure
1989,The Abyss,Action
1989,The Abyss,Thriller
1989,The Abyss,Science Fiction
1989,Henry V,War
1989,Henry V,Drama
1989,Henry V,History
1989,Crimes and Misdemeanors,Comedy
1989,Crimes and Misdemeanors,Drama
1989,Born on the Fourth of July,Drama
1989,Born on the Fourth of July,War
1989,Driving Miss Daisy,Drama
1990,Ghost,Fantasy
1990,Ghost,Drama
1990,Ghost,Thriller
1990,Ghost,Mystery
1990,Ghost,Romance
1951,An American in Paris,Comedy
1951,An American in Paris,Music
1951,An American in Paris,Romance
1990,Alice,Comedy
1990,Alice,Drama
1990,Alice,Romance
1990,Metropolitan,Comedy
1990,Metropolitan,Drama
1990,Metropolitan,Romance
1991,The Silence of the Lambs,Crime
1991,The Silence of the Lambs,Drama
1991,The Silence of the Lambs,Thriller
1951,Strangers on a Train,Crime
1951,Strangers on a Train,Thriller
1951,Strangers on a Train,Mystery
1991,Fried Green Tomatoes,Drama
1991,Fried Green Tomatoes,Comedy
1991,Terminator 2: Judgment Day,Action
1991,Terminator 2: Judgment Day,Thriller
1991,Terminator 2: Judgment Day,Science Fiction
1991,The Fisher King,Comedy
1991,The Fisher King,Drama
1991,The Addams Family,Comedy
1991,The Addams Family,Fantasy
1991,JFK,Drama
1991,JFK,Thriller
1991,JFK,History
1992,Toys,Family
1992,Toys,Fantasy
1992,Toys,Comedy
1992,Toys,Science Fiction
1992,Enchanted April,Romance
1992,Enchanted April,Drama
1992,Passion Fish,Drama
1992,Howards End,Drama
1992,Howards End,Romance
1952,The Greatest Show on Earth,Drama
1952,The Greatest Show on Earth,Family
1952,The Greatest Show on Earth,Romance
1992,The Player,Comedy
1992,The Player,Mystery
1992,The Player,Drama
1992,The Player,Crime
1992,Malcolm X,Drama
1992,Malcolm X,History
1992,Husbands and Wives,Romance
1992,Husbands and Wives,Comedy
1992,Husbands and Wives,Drama
1992,Bram Stoker's Dracula,Romance
1992,Bram Stoker's Dracula,Horror
1952,The Bad and the Beautiful,Drama
1952,The Bad and the Beautiful,Romance
1952,High Noon,Western
1952,High Noon,Thriller
1952,The Quiet Man,Romance
1952,The Quiet Man,Comedy
1952,The Quiet Man,Drama
1992,Unforgiven,Western
1993,Dave,Comedy
1993,Schindler's List,Drama
1993,Schindler's List,History
1993,Schindler's List,War
1993,The Piano,Drama
1993,The Piano,Romance
1993,The Age of Innocence,Drama
1993,The Age of Innocence,Romance
1952,The Snows of Kilimanjaro,Adventure
1952,The Snows of Kilimanjaro,Romance
1993,Short Cuts,Comedy
1993,Short Cuts,Drama
1953,Julius Caesar,Drama
1953,Julius Caesar,History
1994,Speed,Action
1994,Speed,Adventure
1994,Speed,Crime
1953,Shane,Drama
1953,Shane,Western
1994,Heavenly Creatures,Drama
1994,Heavenly Creatures,Fantasy
1953,The War of the Worlds,Science Fiction
1953,The War of the Worlds,Action
1994,"The Adventures of Priscilla, Queen of the Desert",Drama
1994,"The Adventures of Priscilla, Queen of the Desert",Comedy
1953,The Band Wagon,Comedy
1953,The Band Wagon,Music
1953,The Band Wagon,Romance
1994,Legends of the Fall,Adventure
1994,Legends of the Fall,Drama
1994,Legends of the Fall,Romance
1994,Legends of the Fall,War
1994,Legends of the Fall,Western
1994,Four Weddings and a Funeral,Comedy
1994,Four Weddings and a Funeral,Drama
1994,Four Weddings and a Funeral,Romance
1995,A Little Princess,Drama
1995,A Little Princess,Family
1995,A Little Princess,Fantasy
1995,Apollo 13,Drama
1995,Apollo 13,History
1995,Apollo 13,Adventure
1954,The Caine Mutiny,Drama
1954,The Glenn Miller Story,Drama
1954,The Glenn Miller Story,Music
1954,The Glenn Miller Story,Romance
1995,Babe,Fantasy
1995,Babe,Drama
1995,Babe,Comedy
1995,Babe,Family
1995,Dead Man Walking,Drama
1954,A Star Is Born,Drama
1954,A Star Is Born,Music
1954,A Star Is Born,Romance
1996,Secrets & Lies,Drama
1996,Fly Away Home,Action
1996,Fly Away Home,Adventure
1996,Fly Away Home,Drama
1996,Fly Away Home,Family
1954,Executive Suite,Drama
1996,Emma,Romance
1996,Emma,Comedy
1996,Emma,Drama
1996,The English Patient,Drama
1996,The English Patient,Romance
1996,The English Patient,War
1996,Evita,History
1996,Evita,Drama
1996,Evita,Music
1996,The Crucible,Drama
1996,The Crucible,History
1997,As Good as It Gets,Comedy
1997,As Good as It Gets,Romance
1997,Boogie Nights,Drama
1956,The Ten Commandments,Drama
1956,The Ten Commandments,History
1956,The King and I,Drama
1956,The King and I,Romance
1956,The King and I,Adventure
1956,The King and I,Music
1998,Pleasantville,Fantasy
1998,Pleasantville,Comedy
1998,Pleasantville,Drama
1998,Shakespeare in Love,Romance
1998,Shakespeare in Love,History
1998,Shakespeare in Love,Comedy
1998,Elizabeth,Drama
1998,Elizabeth,History
1998,Primary Colors,Drama
1998,Beloved,Drama
1998,Beloved,Thriller
1957,Witness for the Prosecution,Drama
1957,Witness for the Prosecution,Mystery
1957,Witness for the Prosecution,Crime
1957,Sayonara,Drama
1957,Sayonara,Romance
1957,The Bridge on the River Kwai,Drama
1957,The Bridge on the River Kwai,History
1957,The Bridge on the River Kwai,War
1999,The Matrix,Action
1999,The Matrix,Science Fiction
1999,The Sixth Sense,Mystery
1999,The Sixth Sense,Thriller
1999,The Sixth Sense,Drama
1999,Election,Comedy
1999,Being John Malkovich,Comedy
1999,Being John Malkovich,Drama
1999,Being John Malkovich,Fantasy
1999,Anna and the King,Drama
1999,Anna and the King,Romance
1999,Anna and the King,History
1999,Magnolia,Drama
1999,Titus,Drama
1999,Titus,History
1999,The Cider House Rules,Drama
1957,An Affair to Remember,Drama
1957,An Affair to Remember,Romance
1999,The Talented Mr. Ripley,Thriller
1999,The Talented Mr. Ripley,Crime
1999,The Talented Mr. Ripley,Drama
1999,Topsy-Turvy,Comedy
1999,Topsy-Turvy,Drama
1999,Topsy-Turvy,Music
1999,Topsy-Turvy,History
1958,Gigi,Comedy
1958,Gigi,Romance
1958,Teacher's Pet,Comedy
1958,Teacher's Pet,Romance
2000,Erin Brockovich,Drama
2000,Chocolat,Comedy
2000,Chocolat,Drama
2000,Chocolat,Romance
2000,"Crouching Tiger, Hidden Dragon",Adventure
2000,"Crouching Tiger, Hidden Dragon",Drama
2000,"Crouching Tiger, Hidden Dragon",Action
2000,"Crouching Tiger, Hidden Dragon",Romance
2000,Almost Famous,Drama
2000,Almost Famous,Music
2000,The Patriot,Drama
2000,The Patriot,History
2000,The Patriot,War
2000,The Patriot,Action
2000,Billy Elliot,Drama
2000,Billy Elliot,Comedy
2000,Billy Elliot,Music
1959,Anatomy of a Murder,Crime
1959,Anatomy of a Murder,Drama
1959,Anatomy of a Murder,Mystery
1959,Anatomy of a Murder,Thriller
1959,North by Northwest,Mystery
1959,North by Northwest,Thriller
2000,102 Dalmatians,Family
2000,102 Dalmatians,Comedy
2000,Traffic,Thriller
2000,Traffic,Drama
2000,Traffic,Crime
2001,Mulholland Drive,Thriller
2001,Mulholland Drive,Drama
2001,Mulholland Drive,Mystery
2001,Amélie,Comedy
2001,Amélie,Romance
2001,Gosford Park,Drama
2001,Gosford Park,Mystery
2001,Gosford Park,Thriller
1960,Spartacus,History
1960,Spartacus,War
1960,Spartacus,Drama
1960,Spartacus,Adventure
1960,Never on Sunday,Drama
1960,Never on Sunday,Comedy
1960,Never on Sunday,Romance
2001,In the Bedroom,Drama
2001,In the Bedroom,Thriller
2002,My Big Fat Greek Wedding,Comedy
2002,My Big Fat Greek Wedding,Drama
2002,My Big Fat Greek Wedding,Romance
1961,The Guns of Navarone,War
1961,The Guns of Navarone,Action
1961,Breakfast at Tiffany's,Comedy
1961,Breakfast at Tiffany's,Romance
2002,Far from Heaven,Drama
2002,Far from Heaven,Romance
1961,Yojimbo,Drama
1961,Yojimbo,Thriller
2002,Talk to Her,Drama
2002,Talk to Her,Romance
1962,That Touch of Mink,Comedy
1962,That Touch of Mink,Romance
2003,Lost in Translation,Comedy
2003,Lost in Translation,Drama
2003,Lost in Translation,Romance
2003,Cold Mountain,Adventure
2003,Cold Mountain,Drama
2003,Cold Mountain,History
2003,Cold Mountain,Romance
2003,The Barbarian Invasions,Comedy
2003,The Barbarian Invasions,Drama
2003,Girl with a Pearl Earring,Drama
2003,Girl with a Pearl Earring,Romance
1962,The Manchurian Candidate,Thriller
1962,The Manchurian Candidate,Drama
1962,The Manchurian Candidate,Mystery
2003,Mystic River,Thriller
2003,Mystic River,Crime
2003,Mystic River,Drama
2003,Mystic River,Mystery
2004,The Incredibles,Action
2004,The Incredibles,Adventure
2004,The Incredibles,Animation
2004,The Incredibles,Family
2004,Million Dollar Baby,Drama
2004,A Very Long Engagement,Drama
2004,A Very Long Engagement,Romance
2004,A Very Long Engagement,War
1964,A Hard Day's Night,Music
1964,A Hard Day's Night,Comedy
2004,Finding Neverland,Drama
2004,Lemony Snicket's A Series of Unfortunate Events,Adventure
2004,Lemony Snicket's A Series of Unfortunate Events,Comedy
2004,Lemony Snicket's A Series of Unfortunate Events,Family
2004,Sideways,Comedy
2004,Sideways,Drama
2004,Sideways,Romance
2004,Vera Drake,Drama
2004,Ray,Drama
2004,Ray,Music
1964,The Americanization of Emily,Comedy
1964,The Americanization of Emily,Drama
1964,The Americanization of Emily,Romance
1964,The Americanization of Emily,War
2004,The Passion of the Christ,Drama
1965,Doctor Zhivago,Drama
1965,Doctor Zhivago,Romance
1965,Doctor Zhivago,War
2005,The New World,Drama
2005,The New World,History
2005,The New World,Romance
2005,The Constant Gardener,Drama
2005,The Constant Gardener,Mystery
2005,The Constant Gardener,Thriller
2005,Charlie and the Chocolate Factory,Adventure
2005,Charlie and the Chocolate Factory,Comedy
2005,Charlie and the Chocolate Factory,Family
2005,Charlie and the Chocolate Factory,Fantasy
2005,Memoirs of a Geisha,Drama
2005,Memoirs of a Geisha,Romance
2005,Memoirs of a Geisha,History
1966,Who's Afraid of Virginia Woolf?,Drama
2005,Capote,Crime
2005,Capote,Drama
1966,A Man for All Seasons,Drama
1966,A Man for All Seasons,History
2005,Match Point,Drama
2005,Match Point,Thriller
2005,Match Point,Crime
2005,Match Point,Romance
1966,The Fortune Cookie,Romance
1966,The Fortune Cookie,Comedy
2005,Pride & Prejudice,Drama
2005,Pride & Prejudice,Romance
